category,system,component,state_of_art_reference,simplified_developing_world_choice,criticality,local_fabrication_candidate,open_vendor_neutral_note
site,civil,geotechnical survey and drainage design,campus geotech and hydrology study,minimum geotech boreholes plus flood/drainage review,critical,no,use local licensed civil engineer
site,civil,perimeter fence and gate,layered secure campus perimeter,chain-link or palisade fence with controlled vehicle gate,important,yes,use standard hardware
site,civil,service yard,segregated utility and generator yards,small fenced electrical and thermal plant yard,critical,yes,leave expansion space
building,shell,IT hall enclosure,purpose-built high-spec data hall,fire-rated modular IT room or prefabricated shell,critical,partial,use local code-compliant construction
building,shell,electrical room,separate MV/LV galleries,dedicated ventilated electrical room,critical,yes,keep water piping out
building,shell,thermal plant room,large mechanical gallery,serviceable plant room beside IT hall,critical,yes,allow skid removal path
building,shell,service trench or raised floor,large raised floor or overhead galleries,shallow service trench for thermal spine and cabling,critical,yes,avoid inaccessible monolithic floor voids
power,utility,utility service connection,dual MV utility feeds,single utility feed with second-feed provision feeding AC/DC boundary rectifier,critical,no,AC stays at site boundary not the internal critical bus
power,utility,boundary transformer and rectifier input,redundant MV transformers and UPS input switchgear,one transformer plus rectifier input bay and pad space for second,critical,no,standard local utility transformer with certified rectifier interface
power,distribution,AC boundary switchboard,arc-rated switchgear lineup,local-code AC input switchboard with metering for utility and fallback only,critical,no,standard breakers and busbars before DC conversion
power,distribution,DC isolation bypass and precharge,closed-transition ATS or static transfer,serviceable 380-400 VDC isolation bypass precharge and maintenance panel,critical,no,use DC-rated breakers fuses contactors and disconnects
power,backup,generator,paralleled N+1 generator farm,single fallback generator system feeding boundary rectifier plus rental hookup,critical,no,standard engine with local service
power,backup,fuel tank,bulk fuel farm,48-72 hour tank sized by risk and fuel logistics,critical,no,include spill containment
power,backup,generator quick-connect,permanent temporary-generator connection,rental-generator camlock or local equivalent,important,yes,support disaster recovery
power,dc_microgrid,MPPT DC/DC and microgrid controller,2N centralized UPS or distributed redundant UPS,solar and sodium-ion DC microgrid controller feeding a 380-400 VDC backbone,critical,no,prove ride-through under IT and cooling load
power,dc_microgrid,sodium-ion BESS,conventional UPS battery cabinets or electrochemical storage,sodium-ion battery cabinets on bidirectional DC/DC interface,critical,no,validate supplier maturity warranty BMS and local approvals
power,dc_microgrid,solar PV array,optional renewable power purchase or rooftop solar,ground or canopy solar PV as core DC power input,important,partial,use commodity panels with certified DC protection gear
power,distribution,380-400 VDC busway or cable bus,overhead AC busway or HVDC exploration,protected DC busway or cable bus with isolation per row,critical,partial,requires certified DC protection coordination
power,distribution,48 VDC rack power shelf,intelligent metered AC rack PDU,OCP-style 48 V rack shelves or metered DC PDUs,critical,no,avoid vendor-locked power shelves and document connectors
power,metering,DC power meters,branch circuit monitoring everywhere,main DC bus rack-row and plant skid metering,important,no,Modbus or open protocol
cooling,rack,rear door heat exchanger,active or passive RDHx per rack,standard rear-door HX for air-cooled racks,critical,partial,document fittings and coil specs
